"Origen","Destino","Distancia","Tiempo"
"Bogota","Cali",463,387
"Bogota","Medellin",419,345
"Bogota","Barranquilla",1009,724
"Bogota","Cartagena",1052,814
"Bogota","Cucuta",599,438
"Bogota","Bucaramanga",409,305
"Bogota","Pereira",322,282
"Bogota","Santa Marta",968,690
"Bogota","Ibague",193,159
"Bogota","Pasto",764,662
"Bogota","Manizales",317,258
"Bogota","Neiva",301,229
"Bogota","Villavicencio",110,88
"Bogota","Armenia",275,248
"Cali","Bogota",461,387
"Cali","Medellin",440,343
"Cali","Barranquilla",1144,863
"Cali","Cartagena",1098,834
"Cali","Cucuta",984,745
"Cali","Bucaramanga",785,610
"Cali","Pereira",215,159
"Cali","Santa Marta",1231,907
"Cali","Ibague",274,234
"Cali","Pasto",393,426
"Cali","Manizales",268,200
"Cali","Neiva",382,385
"Cali","Villavicencio",558,461
"Cali","Armenia",187,142
"Medellin","Bogota",419,343
"Medellin","Cali",439,345
"Medellin","Barranquilla",704,521
"Medellin","Cartagena",659,492
"Medellin","Cucuta",592,473
"Medellin","Bucaramanga",392,338
"Medellin","Pereira",224,189
"Medellin","Santa Marta",795,586
"Medellin","Ibague",361,319
"Medellin","Pasto",816,758
"Medellin","Manizales",209,177
"Medellin","Neiva",590,470
"Medellin","Villavicencio",529,431
"Medellin","Armenia",280,229
"Barranquilla","Bogota",1006,722
"Barranquilla","Cali",1139,855
"Barranquilla","Medellin",702,512
"Barranquilla","Cartagena",122,113
"Barranquilla","Cucuta",669,531
"Barranquilla","Bucaramanga",642,475
"Barranquilla","Pereira",924,700
"Barranquilla","Santa Marta",102,75
"Barranquilla","Ibague",991,713
"Barranquilla","Pasto",1517,1269
"Barranquilla","Manizales",910,688
"Barranquilla","Neiva",1178,849
"Barranquilla","Villavicencio",1117,810
"Barranquilla","Armenia",980,740
"Cartagena","Bogota",1078,823
"Cartagena","Cali",1094,833
"Cartagena","Medellin",656,490
"Cartagena","Barranquilla",124,110
"Cartagena","Cucuta",740,631
"Cartagena","Bucaramanga",713,576
"Cartagena","Pereira",879,677
"Cartagena","Santa Marta",225,184
"Cartagena","Ibague",1015,807
"Cartagena","Pasto",1471,1246
"Cartagena","Manizales",864,665
"Cartagena","Neiva",1249,950
"Cartagena","Villavicencio",1188,911
"Cartagena","Armenia",934,717
"Cucuta","Bogota",596,434
"Cucuta","Cali",982,746
"Cucuta","Medellin",590,463
"Cucuta","Barranquilla",669,531
"Cucuta","Cartagena",741,623
"Cucuta","Bucaramanga",200,137
"Cucuta","Pereira",767,590
"Cucuta","Santa Marta",628,497
"Cucuta","Ibague",705,517
"Cucuta","Pasto",1354,1087
"Cucuta","Manizales",718,548
"Cucuta","Neiva",891,654
"Cucuta","Villavicencio",706,522
"Cucuta","Armenia",789,611
"Bucaramanga","Bogota",407,301
"Bucaramanga","Cali",783,612
"Bucaramanga","Medellin",391,330
"Bucaramanga","Barranquilla",643,476
"Bucaramanga","Cartagena",715,569
"Bucaramanga","Cucuta",201,138
"Bucaramanga","Pereira",568,456
"Bucaramanga","Santa Marta",602,442
